Respondents;Response Date;Responses;;;;;;;
1;Oct 27 2020 02:56 PM;Yes, additional info might be useful.;;;;;;;
2;Oct 26 2020 05:49 PM;Yes;;;;;;;
3;Oct 26 2020 04:07 PM;Yes;;;;;;;
4;Oct 26 2020 03:40 PM;Yes;;;;;;;
5;Oct 26 2020 12:39 PM;No, I think people will ignore it;;;;;;;
6;Oct 26 2020 11:47 AM;No;;;;;;;
7;Oct 26 2020 11:08 AM;Yes;;;;;;;
8;Oct 26 2020 08:16 AM;Yes;;;;;;;
9;Oct 24 2020 06:37 PM;Yes;;;;;;;
10;Oct 24 2020 05:40 PM;Yes;;;;;;;
11;Oct 24 2020 05:36 PM;No, I think people will ignore it;;;;;;;
12;Oct 24 2020 03:34 PM;No, I think people will ignore it;;;;;;;
13;Oct 24 2020 12:09 PM;Yes;;;;;;;
14;Oct 24 2020 12:27 PM;Yes, seems like it can only help. Though I would make it manual option by the user, part of the info bar, to stop them for the same reason as above.;;;;;;;
15;Oct 24 2020 10:03 AM;Yes;;;;;;;
16;Oct 24 2020 09:01 AM;No, I think people will ignore it;;;;;;;
17;Oct 24 2020 09:02 AM;Yes;;;;;;;
18;Oct 24 2020 08:38 AM;Yes;;;;;;;
19;Oct 23 2020 11:24 PM;No, I think people will ignore it;;;;;;;
20;Oct 23 2020 07:36 PM;Yes;;;;;;;
21;Oct 23 2020 09:44 PM;Yes;;;;;;;";"
22;Oct 23 2020 08:22 PM;Yes;;;;;;;
23;Oct 23 2020 08:14 PM;Yes;;;;;;;
24;Oct 23 2020 08:06 PM;Yes;;;;;;;
25;Oct 23 2020 07:10 PM;No, I think people will ignore it;;;;;;;
26;Oct 23 2020 03:48 PM;Yes;;;;;;;
27;Oct 23 2020 03:42 PM;No;;;;;;;
28;Oct 23 2020 03:44 PM;Yes;;;;;;;
29;Oct 23 2020 03:42 PM;Yes;;;;;;;
30;Oct 23 2020 03:42 PM;No, I think people will ignore it;;;;;;;
31;Oct 23 2020 03:42 PM;Yes;;;;;;;
32;Oct 23 2020 03:40 PM;Yes;;;;;;;
33;Oct 23 2020 03:41 PM;Yes;;;;;;;
34;Oct 23 2020 03:41 PM;Yes;;;;;;;
35;Oct 23 2020 03:08 PM;Yes;;;;;;;
36;Oct 23 2020 02:12 PM;Yes;;;;;;;
37;Oct 23 2020 01:42 PM;Yes;;;;;;;
38;Oct 23 2020 01:30 PM;Yes;;;;;;;
39;Oct 23 2020 01:13 PM;Yes;;;;;;;
40;Oct 23 2020 12:53 PM;Yes, but avoid certain colours like yellows and reds - users will think something;;;;;;;
41;Oct 23 2020 11:06 PM;No;;;;;;;
42;Oct 23 2020 12:47 PM;Yes;;;;;;;
43;Oct 23 2020 12:43 PM;Yes;;;;;;;
44;Oct 23 2020 12:13 PM;No, I think people will ignore it;;;;;;;
45;Oct 23 2020 12:01 PM;Yes;;;;;;;
46;Oct 23 2020 11:08 PM;No;;;;;;;
