Respondents;Response Date;Description_of_main_tabs;Description_of_what_database_location_mapset_means;Brief_advice_on_how_to_start
1;Oct 29 2020 07:18 AM;1;3;2
2;Oct 26 2020 04:07 PM;1;2;3
3;Oct 26 2020 03:40 PM;2;1;3
4;Oct 26 2020 03:30 PM;2;1;3
5;Oct 26 2020 12:43 PM;2;3;1
6;Oct 26 2020 11:47 AM;2;3;1
7;Oct 26 2020 11:07 AM;3;1;2
8;Oct 26 2020 09:01 AM;1;2;3
9;Oct 24 2020 09:16 PM;3;1;2
10;Oct 24 2020 07:36 PM;2;3;1
11;Oct 24 2020 06:44 PM;3;1;2
12;Oct 24 2020 06:37 PM;3;2;1
13;Oct 24 2020 02:23 PM;3;2;1
14;Oct 24 2020 11:23 AM;3;1;2
15;Oct 24 2020 10:24 AM;3;1;2
16;Oct 24 2020 10:02 AM;3;2;1
17;Oct 24 2020 10:02 AM;3;1;2
18;Oct 24 2020 09:12 AM;1;2;3
19;Oct 24 2020 03:14 AM;3;1;2
20;Oct 24 2020 12:25 AM;1;2;3
21;Oct 23 2020 11:35 PM;3;1;2
22;Oct 23 2020 10:45 PM;3;2;1
23;Oct 23 2020 09:52 PM;1;3;2
24;Oct 23 2020 09:05 PM;2;3;1
25;Oct 23 2020 08:59 PM;3;1;2
26;Oct 23 2020 08:14 PM;2;3;1
27;Oct 23 2020 08:10 PM;2;3;1
28;Oct 23 2020 04:49 PM;2;3;1
29;Oct 23 2020 04:45 PM;3;1;2
30;Oct 23 2020 04:43 PM;3;1;2
31;Oct 23 2020 04:43 PM;1;2;3
32;Oct 23 2020 04:42 PM;3;1;2
33;Oct 23 2020 04:41 PM;3;1;2
34;Oct 23 2020 04:41 PM;3;2;1
35;Oct 23 2020 04:41 PM;2;3;1
36;Oct 23 2020 04:40 PM;3;1;2
37;Oct 23 2020 04:22 PM;3;1;2
38;Oct 23 2020 03:16 PM;3;1;2
39;Oct 23 2020 03:14 PM;3;1;2
40;Oct 23 2020 03:09 PM;3;1;2
41;Oct 23 2020 02:42 PM;1;2;3
42;Oct 23 2020 02:24 PM;3;1;2
43;Oct 23 2020 02:00 PM;3;2;1
44;Oct 23 2020 01:53 PM;3;2;1
45;Oct 23 2020 01:50 PM;3;2;1
46;Oct 23 2020 01:47 PM;1;2;3
